Study,Site,SampleType,AreaID,AreaType,d15N,d13C
Sedimentation,Dean Creek,Deposit,NA,mussels,4.835917,-20.39968751
Sedimentation,Dean Creek,Deposit,NA,mussels,4.977121716,-20.76183926
Sedimentation,Dean Creek,Deposit,NA,mussels,5.001734325,-20.85161209
Sedimentation,Dean Creek,Deposit,NA,mussels,4.677172093,-20.04263648
Sedimentation,Dean Creek,Deposit,NA,mussels,4.926212033,-20.60575695
Sedimentation,Dean Creek,Deposit,NA,mussels,4.560685669,-20.56291083
Sedimentation,Dean Creek,Deposit,NA,mussels,4.807606724,-20.65982468
Sedimentation,Dean Creek,Deposit,NA,cordgrass only,4.392052328,-19.5907119
Sedimentation,Dean Creek,Deposit,NA,cordgrass only,3.295402104,-19.5305233
Sedimentation,Dean Creek,Deposit,NA,cordgrass only,4.557869654,-19.65702138
Sedimentation,Dean Creek,Deposit,NA,mussels,4.805584562,-20.85365238
Sedimentation,Dean Creek,Deposit,NA,cordgrass only,4.873327006,-19.95898453
Sedimentation,Dean Creek,Deposit,NA,cordgrass only,4.680210486,-19.48155631
Sedimentation,Dean Creek,Deposit,NA,cordgrass only,4.596290742,-19.9538838
Sedimentation,Dean Creek,Deposit,NA,cordgrass only,4.589213173,-19.99877022
Sedimentation,Dean Creek,Deposit,NA,cordgrass only,4.36,-19.28058759
Sedimentation,Dean Creek,Sestonic POM,NA,NA,5.149078475,-20.67480752
Sedimentation,Dean Creek,Sestonic POM,NA,NA,6.087280245,-20.56345475
Sedimentation,Dean Creek,Sestonic POM,NA,NA,5.25957333,-20.48724644
Sedimentation,Dean Creek,Sestonic POM,NA,NA,5.174864048,-20.92116017
Sedimentation,Dean Creek,Sestonic POM,NA,NA,5.329507503,-18.22819652
Sedimentation,Dean Creek,Sestonic POM,NA,NA,5.285690296,-20.54610758
Sedimentation,Dean Creek,Sestonic POM,NA,NA,5.402212143,-20.67471315
Sedimentation,Dean Creek,Sestonic POM,NA,NA,5.562931932,-20.27717307
Sedimentation,Dean Creek,Sestonic POM,NA,NA,5.311829922,-20.63020045
Sedimentation,Dean Creek,Sestonic POM,NA,NA,5.311403479,-20.89480145
Sedimentation,Dean Creek,Sestonic POM,NA,NA,5.654374151,-20.83736874
Sedimentation,Dean Creek,Sestonic POM,NA,NA,5.371750225,-21.24229278
Sedimentation,Dean Creek,Sestonic POM,NA,NA,5.440143204,-20.93783861
Sedimentation,Dean Creek,Sestonic POM,NA,NA,5.562931932,-21.08499146
Sedimentation,Dean Creek,Sestonic POM,NA,NA,5.767849664,-20.34902947
Sedimentation,Dean Creek,Sestonic POM,NA,NA,4.990559948,-21.10871261
Sedimentation,Dean Creek,Sestonic POM,NA,NA,NA,-20.78265258
Sedimentation,Dean Creek,Sestonic POM,NA,NA,5.036574622,-23.28533466
Sedimentation,Dean Creek,Sestonic POM,NA,NA,4.98434069,-20.83904262
Sedimentation,Dean Creek,Sestonic POM,NA,NA,5.512779855,-20.84411161
Sedimentation,Dean Creek,Sestonic POM,NA,NA,5.24450585,-20.92622916
Sedimentation,Dean Creek,Sestonic POM,NA,NA,4.782363675,-20.75793887
Sedimentation,Dean Creek,Sestonic POM,NA,NA,5.532796972,-19.88911488
Sedimentation,Dean Creek,Sestonic POM,NA,NA,4.576178961,-20.72370585
Accumulation,Old Tea Kettle Creek,Sediment,A10,mussels,4.013383204,-19.48166394
Accumulation,Old Tea Kettle Creek,Sediment,A2,mussels,4.458589476,-19.62335657
Accumulation,Old Tea Kettle Creek,Sediment,A4,mussels,3.98,-19.48563689
Accumulation,Old Tea Kettle Creek,Sediment,A5,mussels,4.461065543,-20.21504112
Accumulation,Old Tea Kettle Creek,Sediment,A6,mussels,4.698238799,-20.20687995
Accumulation,Old Tea Kettle Creek,Sediment,A9,mussels,4.13471194,-19.47951602
Accumulation,Old Tea Kettle Creek,Sediment,C1,mussels,4.671165445,-19.3199245
Accumulation,Old Tea Kettle Creek,Sediment,C2,mussels,4.54281769,-19.76140197
Accumulation,Old Tea Kettle Creek,Sediment,C3,mussels,4.860678926,-21.09804111
Accumulation,Old Tea Kettle Creek,Sediment,C4,mussels,4.603983417,-20.67487377
Accumulation,Old Tea Kettle Creek,Sediment,C7,mussels,4.577912779,-19.88041778
Accumulation,Old Tea Kettle Creek,Sediment,C9,mussels,4.760407243,-19.85803874
Accumulation,Old Tea Kettle Creek,Sediment,L1,mussels,4.546399541,-19.72783341
Accumulation,Old Tea Kettle Creek,Sediment,L5,mussels,4.82458112,-19.75631582
Accumulation,Old Tea Kettle Creek,Sediment,L8,mussels,4.821572969,-19.77259149
Accumulation,Old Tea Kettle Creek,Sediment,N1,mussels,4.677181746,-20.46803727
Accumulation,Old Tea Kettle Creek,Sediment,N10,mussels,4.244008075,-20.54760864
Accumulation,Old Tea Kettle Creek,Sediment,N2,mussels,4.589568505,-20.09772436
Accumulation,Old Tea Kettle Creek,Sediment,N4,mussels,4.368344962,-19.44483106
Accumulation,Old Tea Kettle Creek,Sediment,OA10,cordgrass only,3.725603473,-19.09206517
Accumulation,Old Tea Kettle Creek,Sediment,OA2,cordgrass only,3.80650358,-18.82758558
Accumulation,Old Tea Kettle Creek,Sediment,OA4,cordgrass only,3.977285398,-18.69738025
Accumulation,Old Tea Kettle Creek,Sediment,OA5,cordgrass only,4.312192819,-19.63424832
Accumulation,Old Tea Kettle Creek,Sediment,OA6,cordgrass only,4.595961682,-19.77767764
Accumulation,Old Tea Kettle Creek,Sediment,OA9,cordgrass only,3.867989263,-19.00865238
Accumulation,Old Tea Kettle Creek,Sediment,OC1,cordgrass only,4.13170379,-19.91093466
Accumulation,Old Tea Kettle Creek,Sediment,OC2,cordgrass only,4.741161843,-20.17337979
Accumulation,Old Tea Kettle Creek,Sediment,OC3,cordgrass only,4.543820407,-20.25170643
Accumulation,Old Tea Kettle Creek,Sediment,OC4,cordgrass only,4.564877461,-20.16931087
Accumulation,Old Tea Kettle Creek,Sediment,OC7,cordgrass only,4.429943732,-19.41961296
Accumulation,Old Tea Kettle Creek,Sediment,OC9,cordgrass only,4.921844652,-20.04215722
Accumulation,Old Tea Kettle Creek,Sediment,OL1,cordgrass only,4.34026889,-19.70647159
Accumulation,Old Tea Kettle Creek,Sediment,OL5,cordgrass only,4.519755203,-19.57830072
Accumulation,Old Tea Kettle Creek,Sediment,OL8,cordgrass only,4.23598634,-19.65561013
Accumulation,Old Tea Kettle Creek,Sediment,ON1,cordgrass only,4.707263251,-19.76343643
Accumulation,Old Tea Kettle Creek,Sediment,ON10,cordgrass only,4.150755409,-19.25278738
Accumulation,Old Tea Kettle Creek,Sediment,ON2,cordgrass only,4.184984961,-19.30364884
Accumulation,Old Tea Kettle Creek,Sediment,ON4,cordgrass only,4.377369413,-19.37383765
